parent,pagename,weight,file
Paged/1982_THISTLE,Paged/1982_THISTLE/1,1,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_1.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/2,2,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_2.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/3,3,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_3.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/4,4,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_4.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/5,5,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_5.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/6,6,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_6.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/7,7,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_7.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/8,8,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_8.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/9,9,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_9.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/10,10,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_10.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/11,11,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_11.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/12,12,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_12.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/13,13,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_13.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/14,14,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_14.jpg
Paged/1982_THISTLE,Paged/1982_THISTLE/15,15,/var/www/html/drupal/web/modules/contrib/migrate_islandora_csv/data-cmu/images/thistle/1982/page_15.jpg
