<mods:title>,<mods:subject>,<mods:publisher>,<mods:dateCreated>,<mods:dateModified>,<mods:extent>,<mods:identifier type= "local">,<mods:physicalLocation>,<mods:language>,<mods:accessCondition type="">,<mods:identifier type="doi">,filename,type
The Thistle 1906,College Yearbooks,Carnegie Institute of Technology,1906-01-01T00:00:00,2017-12-15T00:00:00,206 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1906_0001/pdf/TYB_1906_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1906_0001/TYB_1906_0001,TYB_1906_0001.pdf,paged_content
The Thistle 1907,College Yearbooks,Carnegie Institute of Technology,1907-01-01T00:00:00,2020-02-12T00:00:00,267 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1907_0001/pdf/TYB_1907_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1907_0001/TYB_1907_0001,TYB_1907_0001.pdf,paged_content
The Thistle 1908,College Yearbooks,Carnegie Institute of Technology,1908-01-01T00:00:00,2017-12-15T00:00:00,352 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1908_0001/pdf/TYB_1908_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1908_0001/TYB_1908_0001,TYB_1908_0001.pdf,paged_content
The Thistle 1909,College Yearbooks,Carnegie Institute of Technology,1909-01-01T00:00:00,2017-12-15T00:00:00,353 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1909_0001/pdf/TYB_1909_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1909_0001/TYB_1909_0001,TYB_1909_0001.pdf,paged_content
The Thistle 1910,College Yearbooks,Carnegie Institute of Technology,1910-01-01T00:00:00,2018-02-23T00:00:00,226 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1910_0001/pdf/TYB_1910_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1910_0001/TYB_1910_0001,TYB_1910_0001.pdf,paged_content
The Thistle 1911,College Yearbooks,Carnegie Institute of Technology,1911-01-01T00:00:00,2018-02-23T00:00:00,304 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1911_0001/pdf/TYB_1911_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1911_0001/TYB_1911_0001,TYB_1911_0001.pdf,paged_content
The Thistle 1912,College Yearbooks,Carnegie Institute of Technology,1912-01-01T00:00:00,2018-02-23T00:00:00,342 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1912_0001/pdf/TYB_1912_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1912_0001/TYB_1912_0001,TYB_1912_0001.pdf,paged_content
The Thistle 1913,College Yearbooks,Carnegie Institute of Technology,1913-01-01T00:00:00,2018-02-23T00:00:00,400 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1913_0001/pdf/TYB_1913_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1913_0001/TYB_1913_0001,TYB_1913_0001.pdf,paged_content
The Thistle 1914,College Yearbooks,Carnegie Institute of Technology,1914-01-01T00:00:00,2018-02-23T00:00:00,396 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1914_0001/pdf/TYB_1914_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1914_0001/TYB_1914_0001,TYB_1914_0001.pdf,paged_content
The Thistle 1915,College Yearbooks,Carnegie Institute of Technology,1915-01-01T00:00:00,2018-02-23T00:00:00,442 pages,https://digitalcollections.library.cmu.edu/data/Library2/TYB/TYB_1915_0001/pdf/TYB_1915_0001.pdf,Carnegie-Mellon University,English,In Public Domain,http://doi.library.cmu.edu/10.1184/pmc/TYB/TYB_1915_0001/TYB_1915_0001,TYB_1915_0001.pdf,paged_content
